Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = True
wandb_project = 'CS182-final-project'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# each encryption key has 1024 plaintext/ciphertext pairs
# 256 batch size * 2048 block size * 1 gradient_accumulation_steps = 524,288
batch_size = 256
block_size = 2048
gradient_accumulation_steps = 1

# this makes total number of tokens be ~21M, with ~10M input/output pairs
max_iters = 1000
lr_decay_iters = 1000

# eval stuff
eval_interval = 100
eval_iters = 50
log_interval = 1

# weight decay
weight_decay = 1e-1

Overriding: wandb_log = False
Overriding: wandb_run_name = lr-1e-1
Overriding: learning_rate = 0.1
tokens per iteration will be: 524,288
Using vocab size of 28 (a-z + separators)
/pscratch/sd/a/adityat/CS182-project/train.py:259: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Initializing a new model from scratch
number of parameters: 6.30M
num decayed parameter tensors: 34, with 6,822,912 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 321: loss 0.0079, time 531.35ms, mfu 27.52%
iter 322: loss 0.0079, time 530.50ms, mfu 27.56%
iter 323: loss 0.0076, time 530.52ms, mfu 27.60%
iter 324: loss 0.0069, time 530.54ms, mfu 27.63%
iter 325: loss 0.0060, time 537.42ms, mfu 27.62%
iter 326: loss 0.0067, time 530.11ms, mfu 27.65%
iter 327: loss 0.0063, time 533.02ms, mfu 27.67%
iter 328: loss 0.0065, time 536.24ms, mfu 27.66%
iter 329: loss 0.0061, time 532.51ms, mfu 27.68%
iter 330: loss 0.0059, time 533.05ms, mfu 27.69%
iter 331: loss 0.0056, time 533.67ms, mfu 27.70%
iter 332: loss 0.0061, time 536.06ms, mfu 27.69%
iter 333: loss 0.0057, time 536.29ms, mfu 27.68%
iter 334: loss 0.0051, time 533.66ms, mfu 27.69%
iter 335: loss 0.0048, time 531.92ms, mfu 27.71%
iter 336: loss 0.0051, time 529.63ms, mfu 27.73%
iter 337: loss 0.0054, time 545.66ms, mfu 27.67%
iter 338: loss 0.0048, time 534.58ms, mfu 27.68%
iter 339: loss 0.0049, time 532.92ms, mfu 27.69%
iter 340: loss 0.0045, time 533.63ms, mfu 27.70%
iter 341: loss 0.0044, time 532.23ms, mfu 27.71%
iter 342: loss 0.0042, time 531.62ms, mfu 27.72%
iter 343: loss 0.0041, time 528.05ms, mfu 27.76%
iter 344: loss 0.0041, time 534.70ms, mfu 27.75%
iter 345: loss 0.0040, time 527.02ms, mfu 27.79%
iter 346: loss 0.0036, time 529.67ms, mfu 27.81%
iter 347: loss 0.0038, time 526.68ms, mfu 27.84%
iter 348: loss 0.0036, time 529.21ms, mfu 27.85%
iter 349: loss 0.0036, time 531.00ms, mfu 27.86%
iter 350: loss 0.0034, time 530.51ms, mfu 27.86%
iter 351: loss 0.0033, time 530.18ms, mfu 27.87%
iter 352: loss 0.0034, time 535.12ms, mfu 27.85%
iter 353: loss 0.0033, time 535.10ms, mfu 27.83%
iter 354: loss 0.0033, time 531.16ms, mfu 27.84%
iter 355: loss 0.0033, time 533.34ms, mfu 27.83%
iter 356: loss 0.0037, time 527.38ms, mfu 27.86%
iter 357: loss 0.0035, time 533.48ms, mfu 27.85%
iter 358: loss 0.0034, time 530.78ms, mfu 27.86%
iter 359: loss 0.0035, time 527.79ms, mfu 27.88%
iter 360: loss 0.0040, time 530.39ms, mfu 27.88%
iter 361: loss 0.0034, time 533.69ms, mfu 27.87%
iter 362: loss 0.0032, time 533.14ms, mfu 27.86%
iter 363: loss 0.0034, time 532.32ms, mfu 27.86%
iter 364: loss 0.0033, time 528.79ms, mfu 27.87%
iter 365: loss 0.0034, time 530.25ms, mfu 27.88%
iter 366: loss 0.0034, time 530.81ms, mfu 27.88%
iter 367: loss 0.0037, time 529.24ms, mfu 27.89%
iter 368: loss 0.0034, time 532.51ms, mfu 27.88%
iter 369: loss 0.0036, time 530.24ms, mfu 27.89%
iter 370: loss 0.0032, time 533.85ms, mfu 27.88%
